runner_id,age,sex,residence,split_1_segment_time,split_1_overall_place,split_1_pace,split_2_segment_time,split_2_overall_place,split_2_pace,split_3_segment_time,split_3_overall_place,split_3_pace,split_4_segment_time,split_4_overall_place,split_4_pace,split_5_segment_time,split_5_overall_place,split_5_pace,split_6_segment_time,split_6_overall_place,split_6_pace,split_7_segment_time,split_7_overall_place,split_7_pace,chipstart
1,28.0,M,CA,961,3,310,953,7,307,2104,4,306,1668,3,301,718,5,305,936,2,312,667,3,304,1
2,26.0,M,MA,963,12,310,967,15,311,2127,13,309,1697,10,307,710,2,301,942,5,314,686,8,312,1
4,29.0,M,CA,961,6,310,952,1,307,2093,2,304,1680,7,304,717,4,304,936,3,312,656,2,298,1
5,30.0,M,AZ,961,5,310,954,10,307,2104,3,306,1668,1,301,719,6,305,935,1,312,653,1,297,0
6,27.0,M,MI,962,9,310,954,8,307,2107,9,306,1675,6,303,707,1,300,964,8,322,718,15,327,0
7,31.0,M,CA,970,14,313,960,13,309,2089,1,304,1668,2,301,717,3,304,937,4,313,675,5,307,0
8,26.0,M,CO,961,2,310,953,3,307,2106,8,306,1669,4,302,736,9,312,994,14,332,791,49,360,0
9,30.0,M,CO,961,4,310,952,2,307,2106,7,306,1754,17,317,818,44,347,1050,32,350,770,35,350,1
11,33.0,M,CO,963,13,310,953,4,307,2105,5,306,1715,12,310,780,22,331,1032,23,344,747,25,340,0
13,26.0,M,CA,962,7,310,953,5,307,2108,10,306,1688,9,305,742,12,315,974,11,325,686,7,312,0
14,30.0,M,CA,960,1,309,954,11,307,2111,11,307,1711,11,309,738,10,313,971,9,324,705,11,321,1
15,27.0,M,MI,972,16,313,967,14,311,2148,14,312,1737,15,314,754,15,320,1018,20,340,786,43,358,0
16,25.0,M,AZ,962,10,310,954,9,307,2105,6,306,1684,8,304,723,7,307,978,13,326,712,12,324,1
17,23.0,M,MI,992,25,320,985,23,317,2165,17,315,1737,14,314,734,8,312,953,7,318,683,6,311,0
18,30.0,M,NM,985,22,317,967,16,312,2153,15,313,1776,21,321,790,24,335,1033,24,345,755,29,344,1
19,31.0,M,IN,962,11,310,953,6,307,2114,12,307,1720,13,311,741,11,315,977,12,326,705,10,321,1
21,27.0,M,WI,972,15,313,969,17,312,2207,26,321,1884,36,340,827,45,351,1060,35,354,745,24,339,1
22,26.0,M,MO,981,20,316,974,19,314,2176,19,316,1671,5,302,745,13,316,945,6,315,673,4,306,0
23,26.0,M,CO,1009,28,325,997,26,321,2194,24,319,1765,18,319,763,17,324,1049,30,350,790,48,360,1
24,24.0,M,ID,1023,32,330,1008,28,325,2252,28,328,1813,26,328,766,19,325,1014,16,338,770,37,350,0
25,25.0,M,CO,992,23,320,985,24,317,2165,16,315,1740,16,314,748,14,317,973,10,325,702,9,319,1
28,33.0,M,CA,1024,35,330,1010,32,325,2268,33,330,2007,75,363,967,198,410,1461,718,487,985,429,448,1
29,28.0,M,WI,1023,33,330,1009,30,325,2262,31,329,1848,31,334,798,30,338,1042,27,348,747,26,340,1
30,28.0,M,CA,1025,38,330,1040,41,335,2385,56,347,1889,39,341,817,43,347,1076,37,359,736,21,335,0
33,29.0,M,MI,975,18,314,978,22,315,2185,23,318,1788,22,323,813,40,345,1116,53,372,839,83,382,0
34,25.0,M,CO,1009,27,325,998,27,321,2204,25,321,1797,23,325,785,23,333,1044,28,348,830,74,377,1
38,30.0,M,VA,1068,54,344,1015,35,327,2257,29,328,1824,28,330,796,29,338,1172,87,391,1030,664,468,3
39,28.0,M,DC,1031,40,332,1033,40,333,2344,45,341,1901,45,344,815,41,346,1121,55,374,800,54,364,2
40,27.0,M,WI,1023,34,330,1017,36,328,2336,39,340,1893,42,342,808,33,343,1109,49,370,772,38,351,2
41,25.0,M,NY,1049,42,338,1065,56,343,2395,60,348,2036,92,368,880,84,373,1164,80,388,852,97,388,0
44,32.0,M,DC,1091,68,352,1072,58,345,2379,55,346,2006,74,362,885,93,376,1201,112,401,866,117,394,2
46,31.0,M,CO,1010,29,325,1014,34,327,2259,30,328,1818,27,329,792,25,336,1052,33,351,779,39,355,2
47,31.0,M,MO,1234,222,397,1233,251,397,2755,252,401,2195,191,396,1007,307,427,1428,600,476,1100,1147,500,1
48,36.0,M,OH,1059,49,341,1055,52,340,2346,46,341,1914,47,346,856,66,363,1241,151,414,906,183,412,1
49,36.0,M,MD,1141,108,368,1100,85,354,2413,67,351,1925,49,348,847,54,359,1161,79,387,846,91,385,2
50,25.0,M,WI,1059,50,341,1048,43,338,2341,43,340,1887,38,341,764,18,324,1014,17,338,716,14,326,2
51,27.0,M,MN,1191,161,384,1204,190,388,2653,172,386,2143,149,387,971,209,412,1344,316,448,924,231,420,71
52,37.0,M,MN,1107,88,357,1105,88,356,2454,79,357,2046,96,370,910,116,386,1213,122,405,886,148,403,1
53,31.0,M,WI,1077,60,347,1081,67,348,2406,65,350,1969,63,356,860,68,365,1139,66,380,814,62,370,2
55,29.0,M,MN,1025,37,330,1017,37,328,2336,40,340,1893,43,342,812,37,345,1032,22,344,712,13,324,1
56,25.0,M,MN,1089,65,351,1080,63,348,2358,49,343,1877,34,339,810,36,344,1078,39,360,799,52,363,3
57,33.0,M,MN,1093,73,352,1077,59,347,2341,42,340,1886,37,341,813,38,345,1060,34,354,758,30,345,3
59,30.0,M,MN,1090,66,351,1082,70,349,2368,52,344,1929,50,348,834,49,354,1111,50,371,837,78,381,3
60,30.0,M,WI,1116,93,360,1120,96,361,2504,92,364,2035,91,368,929,138,394,1252,169,418,861,109,392,3
61,29.0,M,IA,1218,199,392,1233,257,397,2792,285,406,2455,562,443,1117,842,474,1560,1266,520,1152,1676,524,15
62,37.0,M,MN,1016,30,328,1013,33,327,2270,34,330,1882,35,340,810,35,344,1049,31,350,744,23,339,1
64,36.0,M,NM,976,19,314,977,21,315,2185,22,318,1775,19,321,775,20,329,1015,19,339,723,17,329,0
103,36.0,F,MN,1278,370,412,1291,434,416,2581,131,375,1983,66,358,851,58,361,1191,106,397,884,140,402,5
104,30.0,F,NM,1058,46,341,1050,47,338,2353,48,342,1953,56,353,862,71,366,1174,91,392,850,95,387,0
105,34.0,F,CO,1057,45,340,1050,46,338,2352,47,342,1941,53,351,853,60,362,1177,94,393,933,268,425,2
107,27.0,F,VA,1099,79,354,1086,74,350,2449,76,356,1948,54,352,831,48,353,1091,44,364,770,36,350,2
108,31.0,F,MN,1099,80,354,1086,75,350,2448,75,356,1949,55,352,830,47,352,1098,46,366,782,41,356,2
111,30.0,F,MN,1058,47,341,1055,50,340,2379,54,346,1938,52,350,809,34,343,1067,36,356,751,28,342,1
112,26.0,F,MI,1064,53,343,1062,55,342,2420,71,352,1998,69,361,854,61,362,1078,38,360,749,27,341,5
113,25.0,F,OR,1073,57,346,1087,76,350,2436,74,354,1998,70,361,881,86,374,1173,90,391,927,247,421,1
118,27.0,F,OH,1100,81,354,1096,80,353,2470,83,359,2007,76,363,864,74,367,1115,51,372,798,51,363,2
119,30.0,F,CO,1152,119,371,1152,132,371,2554,115,371,2043,94,369,866,75,368,1118,54,373,784,42,357,3
121,38.0,F,KS,1151,115,371,1150,121,370,2558,121,372,2157,158,390,1044,433,443,1293,234,431,947,314,431,3
123,26.0,F,MI,1137,102,366,1134,109,365,2550,110,371,2090,117,378,887,94,376,1130,61,377,809,58,368,3
124,24.0,F,NY,1112,91,358,1126,100,363,2504,93,364,2010,80,363,855,63,363,1146,70,382,817,64,372,2
136,33.0,F,MT,1133,99,365,1130,104,364,2558,120,372,2103,121,380,911,118,387,1205,114,402,859,106,391,3
139,25.0,F,MO,1147,111,370,1153,133,372,2558,119,372,2081,113,376,910,114,386,1176,93,392,837,79,381,3
140,37.0,F,OH,1162,134,374,1161,135,374,2631,162,382,2177,179,393,977,223,414,1431,609,477,938,280,426,1
142,35.0,F,MN,1226,211,395,1210,204,390,2673,191,389,2144,151,387,936,152,397,1236,143,412,877,131,399,0
144,32.0,F,MT,1168,142,376,1195,175,385,2681,195,390,2170,172,392,923,130,392,1219,125,407,855,99,389,3
145,31.0,F,TX,1204,176,388,1198,181,386,2665,186,387,2218,207,401,977,222,414,1291,228,431,913,203,415,3
146,27.0,F,WI,1163,136,375,1185,161,382,2736,227,398,2350,353,425,1037,402,440,1369,395,457,918,213,417,4
147,36.0,F,CO,1243,245,400,1256,314,404,2864,398,416,2488,642,449,1123,892,476,1511,955,504,1054,824,479,4
148,36.0,F,MN,1277,367,412,1282,402,413,2811,311,409,2288,276,413,1219,1732,517,1431,611,477,1015,571,461,5
149,30.0,F,KS,1230,218,396,1238,268,399,2754,251,400,2227,220,402,969,207,411,1299,242,433,955,341,434,3
151,25.0,F,MN,1223,207,394,1204,192,388,2672,190,388,2141,144,387,931,144,395,1205,116,402,834,76,379,4
152,29.0,F,WI,1177,151,379,1201,187,387,2764,264,402,2339,333,423,991,251,420,1337,304,446,951,332,433,0
